Data,Kurs
2004-05-05,3.0672
2004-05-06,3.0763
2004-05-07,3.0588
2004-05-10,3.0888
2004-05-11,3.076
2004-05-12,3.0907
2004-05-13,3.1126
2004-05-14,3.0921
2004-05-17,3.1207
2004-05-18,3.0965
2004-05-19,3.0574
2004-05-20,3.0531
2004-05-21,3.0585
2004-05-24,3.038
2004-05-25,3.0223
2004-05-26,3.0322
2004-05-27,3.0266
2004-05-28,3.051
2004-05-31,3.0425
2004-06-01,3.0423
2004-06-02,3.0532
2004-06-03,3.0455
2004-06-04,3.0416
2004-06-07,3.0555
2004-06-08,3.0248
2004-06-09,3.0308
2004-06-11,3.0433
2004-06-14,3.0112
2004-06-15,3.0055
2004-06-16,2.9996
2004-06-17,3.02
2004-06-18,3.028
2004-06-21,3.0346
2004-06-22,3.0431
2004-06-23,3.0213
2004-06-24,3.0145
2004-06-25,3.0158
2004-06-28,2.9865
2004-06-29,2.9779
2004-06-30,2.9726
2004-07-01,2.9524
2004-07-02,2.9713
2004-07-05,2.9785
2004-07-06,2.9799
2004-07-07,2.9775
2004-07-08,2.9842
2004-07-09,2.9839
2004-07-12,2.9685
2004-07-13,2.937
2004-07-14,2.9286
2004-07-15,2.9028
2004-07-16,2.9037
2004-07-19,2.8949
2004-07-20,2.9232
2004-07-21,2.9116
2004-07-22,2.9067
2004-07-23,2.9013
2004-07-26,2.8992
2004-07-27,2.891
2004-07-28,2.8767
2004-07-29,2.8666
2004-07-30,2.8406
2004-08-02,2.8554
2004-08-03,2.874
2004-08-04,2.883
2004-08-05,2.8679
2004-08-06,2.8557
2004-08-09,2.8453
2004-08-10,2.8484
2004-08-11,2.8765
2004-08-12,2.8685
2004-08-13,2.9018
2004-08-16,2.902
2004-08-17,2.8855
2004-08-18,2.8943
2004-08-19,2.9088
2004-08-20,2.9113
2004-08-23,2.8949
2004-08-24,2.8782
2004-08-25,2.8878
2004-08-26,2.8871
2004-08-27,2.906
2004-08-30,2.8846
2004-08-31,2.8829
2004-09-01,2.8884
2004-09-02,2.8934
2004-09-03,2.8836
2004-09-06,2.8777
2004-09-07,2.8564
2004-09-08,2.8625
2004-09-09,2.8521
2004-09-10,2.8545
2004-09-13,2.8525
2004-09-14,2.8423
2004-09-15,2.824
2004-09-16,2.817
2004-09-17,2.8146
2004-09-20,2.792
2004-09-21,2.7887
2004-09-22,2.7998
2004-09-23,2.8118
2004-09-24,2.8116
2004-09-27,2.806
2004-09-28,2.813
2004-09-29,2.8036
2004-09-30,2.8217
2004-10-01,2.8271
2004-10-04,2.7977
2004-10-05,2.7829
2004-10-06,2.7727
